SPRINT_NAME,SPRINT_INDEX,SPRINT_START_DATE,TARGETED_RELEASE_DATE,TRENDING_RELEASE_DATE,RELEASE_CONFIDENCE_PERCENTAGE,SPRINT_RELEASE_COMFORT_PERCENTAGE,PLANNED_SPRINT_VELOCITY,TOTAL_RELEASE_DEFECT_POINTS,TOTAL_RELEASE_PBI_POINTS,TOTAL_RELEASE_WORKORDER_POINTS
101,1,18-Feb-16,22-Jun-16,22-Jun-16,78,,73,112,126,0
102,2,03-Mar-16,22-Jun-16,22-Jun-16,72,,76,112,126,0
103,3,16-Mar-16,22-Jun-16,27-Jun-16,74,,74,132,212,0
104,4,31-Mar-16,22-Jun-16,15-Jul-16,58,,83,132,212,0
105,5,14-Apr-16,22-Jun-16,10-Aug-16,41,,42,138,266,0
106,6,28-Apr-16,31-Aug-16,17-Aug-16,,33.33333333,48,160,324,0
107,7,12-May-16,31-Aug-16,17-Aug-16,82,47,55,197,359,0
108,8,26-May-16,31-Aug-16,12-Sep-16,,,70,200,376,0
109,9,09-Jun-16,31-Aug-16,02-Sep-16,72,,60,218,388,0
110,10,23-Jun-16,31-Aug-16,02-Sep-16,50,,70,220,402,0
111,11,07-Jul-16,31-Aug-16,07-Sep-16,,,71,219,406,0
112,12,21-Jul-16,31-Aug-16,,,,73,258,472,0
113,13,,,,,,85,,,0
